Catagory,Block Name,Menu Description,Spacing Type,Sort Order
Header,SURV_LEG_HEADER,,single,0
Linework,SURV_LEG_CENTERLINE,CENTERLINE,single,10
Linework,SURV_LEG_BOUNDARY,BOUNDARY,single,20
Linework,SURV_LEG_LOTLINE_N,LOT LINE,single,30
Linework,SURV_LEG_RIGHT_OF_WAY,ROW LINE,single,40
Linework,SURV_LEG_TIE_LINE,SURVEY TIE LINE,single,50
Linework,SURV_LEG_ROW_DEDICATION,ROW DEDICATION PARCEL LINE,single,60
Linework,SURV_LEG_SECTION_LINE,SECTION LINE,single,70
Linework,SURV_LEG_QUARTER_SECTION,QUARTER SECTION LINE,single,80
Linework,SURV_LEG_SIXTEENTH_SECTION,SIXTEENTH SECTION LINE,single,90
Linework,SURV_LEG_ESMT_ACCESS,ESMT-ACCESS,single,100
Linework,SURV_LEG_ESMT_PED,ESMT-PEDESTRIAN,single,110
Linework,SURV_LEG_ESMT_RTC,ESMT-RTC,single,120
Linework,SURV_LEG_ESMT_CENTERLINE,ESMT-CENTERLINE,single,130
Linework,SURV_LEG_ESMT_DRAIN,ESMT-DRAINAGE,single,140
Linework,SURV_LEG_ESMT_NGAS,ESMT-NGAS ,single,150
Linework,SURV_LEG_ESMT_POWER,ESMT-POWER,single,160
Linework,SURV_LEG_ESMT_STLT,ESMT-STREETLIGHT,single,170
Linework,SURV_LEG_ESMT_SSWR,ESMT-SEWER,single,180
Linework,SURV_LEG_ESMT_TCE,ESMT-TCE,single,181
Linework,SURV_LEG_ESMT_TSIG,ESMT-TRAFFIC SIGNAL,single,182
Linework,SURV_LEG_ESMT_UTIL_NEW,ESMT-UTILITY (NEW),single,183
Linework,SURV_LEG_ESMT_UTIL_EX,ESMT-UTILITY (EX),single,184
Linework,SURV_LEG_ESMT_WATR,ESMT-WATER,single,185
Symbols,SURV_LEG_CONTROL_POINT,CONTROL POINT ID,single,200
Symbols,SURV_LEG_FOUND_MONUMENT,FOUND MONUMENT,single,210
Symbols,SURV_LEG_FOUND_REF_MONUMENT,FOUND REFERENCE MONUMENT,single,220
Symbols,SURV_LEG_SET_TYPE_3,SET TYPE III,double,230
Symbols,SURV_LEG_SET_TYPE_4,SET TYPE IV,double,240
Symbols,SURV_LEG_SET_REBAR_CAP,SET REBAR AND CAP,double,250
Symbols,SURV_LEG_CALC_POSITION,CALCULATED POSITION,single,260
Abbreviations,SURV_LEG_ABREV_RM,RM,single,300
Abbreviations,SURV_LEG_ABREV_PB,PB,single,310
Abbreviations,SURV_LEG_ABREV_SV,SV,single,320
Abbreviations,SURV_LEG_ABREV_OR,OR,single,330
Abbreviations,SURV_LEG_ABREV_R,(R),single,340
Abbreviations,SURV_LEG_ABREV_M,(M),single,350
Construction Notes,SURV_LEG_CN_ROW_EXISTING,EXIST ROW REFERENCE,single,400
Construction Notes,SURV_LEG_CN_ROW_DEDICATED,DEDICATED ROW,single,410
Construction Notes,SURV_LEG_CN_ESMT_EXISTING,EXIST EASEMENT,single,420
Construction Notes,SURV_LEG_CN_ESMT_GRANTED,GRANTED EASEMENT,single,430
