Segment,Type,StartX,StartY,Bearing,Distance,CurveDirection,Radius,Delta,ArcLength,Tangent,ChordBearing,ChordLength,SourceLabel,CorrectedLabel,Notes
1,LINE,10000.0000,10000.0000,"S88°30'54""W",346.62,,,,,,,,"S88°30'54""W 346.62'","S88°30'54""W",OK
2,CURVE,9653.4964,9991.0173,,,CCW/LEFT,1040.00,"15°04'17""",273.57,137.58,"N15°57'22""E",272.78,"C5 Δ15°04'17"" R1040.00' L273.57' T137.58'; R5 S66°30'29""E to R6 S81°34'46""E","C5 LEFT, start tangent N23°29'31""E; end tangent N08°25'14""E",Radial/bearing discontinuity before C6; manual verification needed
3,CURVE,9728.4843,10253.2867,,,CCW/LEFT,4050.00,"00°48'26""",57.06,28.53,"N16°50'41""E",57.06,"C6 Δ00°48'26"" R4050.00' L57.06' T28.53'; R7 S72°45'06""E","C6 LEFT, start tangent N17°14'54""E; end tangent N16°26'28""E",Radial/bearing discontinuity from C5 end; manual verification needed
4,LINE,9745.0187,10307.8973,"N16°26'28""E",246.54,,,,,,,,"L6 / legal N16°26'28""E 246.54'","N16°26'28""E",OK
5,LINE,9814.7969,10544.3565,"S80°53'21""E",484.59,,,,,,,,"S80°53'21""E 484.59'","S80°53'21""E",OK
6,LINE,10293.2732,10467.6242,"N14°19'49""E",483.76,,,,,,,,"N14°19'49""E 483.76'","N14°19'49""E",OK
7,LINE,10413.0092,10936.3321,"N00°03'31""E",337.88,,,,,,,,"L5 / legal N00°03'31""E 337.88'","N00°03'31""E",OK
8,LINE,10413.3548,11274.2119,"S89°56'29""E",1622.10,,,,,,,,"S89°56'29""E 1622.10'","S89°56'29""E",OK
9,CURVE,12035.4539,11272.5526,,,CW/RIGHT,20.00,"90°12'33""",31.49,20.07,"S44°50'12""E",28.34,"C7 Δ90°12'33"" R20.00' L31.49' T20.07'","C7 RIGHT, start tangent S89°56'29""E; end tangent S00°16'04""W",OK
10,LINE,12055.4333,11252.4591,"S00°16'04""W",949.72,,,,,,,,"S00°16'04""W 949.72'","S00°16'04""W",OK
11,CURVE,12050.9947,10302.7495,,,CW/RIGHT,20.00,"89°50'45""",31.36,19.95,"S45°11'26""W",28.25,"C8 Δ89°50'45"" R20.00' L31.36' T19.95'","C8 RIGHT, start tangent S00°16'04""W; end tangent N89°53'11""W",OK
12,LINE,12030.9552,10282.8430,"N89°53'11""W",419.05,,,,,,,,"N89°53'11""W 419.05'","N89°53'11""W",OK
13,LINE,11611.9061,10283.6739,"N88°44'29""W",159.08,,,,,,,,"L7 / legal N88°44'29""W 159.08'","N88°44'29""W",OK
14,CURVE,11452.8644,10287.1681,,,CCW/LEFT,422.82,"72°43'59""",536.74,311.35,"S54°53'32""W",501.42,"C9 Δ72°43'59"" R422.82' L536.74' T311.35'; end radial R8 N71°28'28""W","C9 LEFT, start tangent N88°44'29""W; end tangent S18°31'32""W",OK
15,LINE,11042.6668,9998.7917,"N89°56'01""W",1042.66,,,,,,,,"N89°56'01""W 1042.66'","N89°56'01""W",OK
